block,task,case_id,method,success,score,termination,native_sha256
added,classify_objects,classify_objects__standard__g0__l1,hybrid,0,15.0,native_terminal,67ca66d6f8b56e7c6bcf04468403041c28e1948a8c9a0e3f444addcca0e64b95
added,classify_objects,classify_objects__standard__g0__l1,policy,0,15.0,native_terminal,67ca66d6f8b56e7c6bcf04468403041c28e1948a8c9a0e3f444addcca0e64b95
added,classify_objects,classify_objects__standard__g0__l2,hybrid,0,40.0,native_terminal,70e27d22e46776da77f7c14ef14c70cd1c249b3ee6cf32aea1470fa2eb9f1639
added,classify_objects,classify_objects__standard__g0__l2,policy,0,0.0,native_terminal,5ad28bd485eef1b29e026888edb4cec8699cfe76b1911c88d74858b5d0e3ff45
added,classify_objects,classify_objects__standard__g0__l3,hybrid,0,40.0,native_terminal,70c08431b844f4dfda9a0dd9a09ef464107c703f0bbba8f3bcdf480c7771f287
added,classify_objects,classify_objects__standard__g0__l3,policy,0,0.0,native_terminal,d80774a6886f811fdf68c50aac2e15fb776cbafdb8399cd625537f40389b0680
added,classify_objects,classify_objects__standard__g0__l4,hybrid,0,15.0,native_terminal,c360c14ab6ac22a4e138523c5a97e984460e5335b749727bd326420b3e5a5a16
added,classify_objects,classify_objects__standard__g0__l4,policy,0,15.0,native_terminal,c360c14ab6ac22a4e138523c5a97e984460e5335b749727bd326420b3e5a5a16
added,make_kong,make_kong__standard__g0__l0,hybrid,1,100.0,native_terminal,cc7bfb10a7eec172ccd23431834e2276f9d1a8b197f13b3fcca3bae452365dd4
added,make_kong,make_kong__standard__g0__l0,policy,1,100.0,native_terminal,ec819b1624a15dba4d8ad4ceac00ec026256d1d6591ef43ad5981dc18bbee06a
added,make_kong,make_kong__standard__g0__l1,hybrid,1,100.0,native_terminal,894442dc7df23ddbf73622aae233096c7be4254f2ab7065dd932d810f9789a1e
added,make_kong,make_kong__standard__g0__l1,policy,0,0.0,native_terminal,08394e43926d5526e37a439862804fe6b6448ca51d3d9da56656692d5a42aa6b
added,make_kong,make_kong__standard__g0__l2,hybrid,0,0.0,native_terminal,11ee1a1eb87381aea6c4b83cb11f79301654ec7377c91329886bec8d6406113f
added,make_kong,make_kong__standard__g0__l2,policy,0,0.0,native_terminal,11ee1a1eb87381aea6c4b83cb11f79301654ec7377c91329886bec8d6406113f
added,make_kong,make_kong__standard__g0__l3,hybrid,1,100.0,native_terminal,e0cbd555d9054da238895434406feaa52c21131bf0947d68b5002f0961044c63
added,make_kong,make_kong__standard__g0__l3,policy,0,0.0,native_terminal,da5277a95779a911a3e98dc8e3b0426fd23153b71690ae5e5e93baf2889403d8
added,make_kong,make_kong__standard__g0__l4,hybrid,0,0.0,native_terminal,4b411c89bf0efc46a871e0dce2e626b83853fee2acad7976996799b2a664f043
added,make_kong,make_kong__standard__g0__l4,policy,0,0.0,native_terminal,4b411c89bf0efc46a871e0dce2e626b83853fee2acad7976996799b2a664f043
added,pack_objects_into_box,pack_objects_into_box__random__g0__l0,hybrid,0,0.0,native_terminal,31840258a511207bd604857a4711f86da540db37d1407aecd6dd30f9b357e553
added,pack_objects_into_box,pack_objects_into_box__random__g0__l0,policy,0,50.0,native_terminal,a3f2bce2d3afbce99c17485796034739c3bf2e73d7f6f42a58fc08d0cd7ad638
added,pack_objects_into_box,pack_objects_into_box__random__g0__l1,hybrid,0,10.0,native_terminal,f61892bfa1e08d8960bb6187f564a1f1b2291557ee98dd1ac25363e862ece1aa
added,pack_objects_into_box,pack_objects_into_box__random__g0__l1,policy,0,0.0,native_terminal,83635990747c7c29f82a1035feb432b71b764de74fb64a40e4a2ecb352a7c89a
added,pack_objects_into_box,pack_objects_into_box__standard__g0__l0,hybrid,0,0.0,native_terminal,59aff9f78ca6ece9b3cefc6eb5c5e1890bc7a91924b0be23e5de34f01d16d59d
added,pack_objects_into_box,pack_objects_into_box__standard__g0__l0,policy,0,50.0,native_terminal,46ebdf4f4f27822317f0e8941bb08536b41542dfc92aae354b7ea78d46e1a034
added,pack_objects_into_box,pack_objects_into_box__standard__g0__l1,hybrid,0,0.0,native_terminal,b3ecd9e9aaa197d459efcebf45a6a78d4e16a33a361470c99de3422e373af9e1
added,pack_objects_into_box,pack_objects_into_box__standard__g0__l1,policy,0,0.0,native_terminal,b3ecd9e9aaa197d459efcebf45a6a78d4e16a33a361470c99de3422e373af9e1
added,pack_objects_into_box,pack_objects_into_box__standard__g0__l2,hybrid,0,0.0,native_terminal,a23ef41ad3e5f7472fe85c0a870bd36ba30b036d49d1fd29cc2326533bca85b4
added,pack_objects_into_box,pack_objects_into_box__standard__g0__l2,policy,0,0.0,native_terminal,a23ef41ad3e5f7472fe85c0a870bd36ba30b036d49d1fd29cc2326533bca85b4
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l0,hybrid,1,100.0,native_terminal,170f3af11811e249862e3a3644afc5fb9230ad94f0bd8433776701aefdc11725
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l0,policy,0,10.0,native_terminal,14d8d850692c5f02f8e601c2d6d4f60c3ce09691dd65af3f5ca881a58ebdaa39
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l1,hybrid,1,100.0,native_terminal,657ef8ad92dc73320a3ac2725261b8dd686cc5c8144755cbd63d5a715c7876d5
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l1,policy,1,100.0,native_terminal,9baf752d89a03f43b972e95abd746eebcf1c043ddadf2464c0a7f176d830602b
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l2,hybrid,1,100.0,native_terminal,fe3639c0b8933f5dd542175f58890dbc4adc608e56632a17e5f53c8f9e6d701c
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l2,policy,1,100.0,native_terminal,933dcab255eff00374090db56e4743539b586b480c63a25750e19085c914ec07
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l3,hybrid,0,10.0,native_terminal,9e2cce31d8a2212c33f1c18f4920034f8919ac0e45ec73e3bee9c6b34e398c2b
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l3,policy,0,10.0,native_terminal,9e2cce31d8a2212c33f1c18f4920034f8919ac0e45ec73e3bee9c6b34e398c2b
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l4,hybrid,1,100.0,native_terminal,5fd82fcaea1c9dbfa7f1fcf04f7b5f217b28e86f7bab50d5594265eeac5c0ae8
added,put_bottles_into_dustbin,put_bottles_into_dustbin__standard__g0__l4,policy,1,100.0,native_terminal,0b96fd14c5b521d06bd4ccf53fcf9966e70273aca582ec8fe8c8eada61d54624
original,arrange_largest_number,arrange_largest_number__random__g0__l0,hybrid,0,30.0,native_timeout,5c7f985a677bf584e720aa4313f40a152d015650cfa4edea5e9759cc7d8129ef
original,arrange_largest_number,arrange_largest_number__random__g0__l0,policy,0,0.0,native_timeout,4497a2a7047c9ea98a8b5e89df8df55475e35e479a3fc56736d7dc050aa31647
original,arrange_largest_number,arrange_largest_number__random__g0__l1,hybrid,0,0.0,native_timeout,2155ac71467c94ad907e11c7d8b37e4327be0cbea0554f0d2ee92f457ffc7c9a
original,arrange_largest_number,arrange_largest_number__random__g0__l1,policy,0,0.0,native_timeout,2155ac71467c94ad907e11c7d8b37e4327be0cbea0554f0d2ee92f457ffc7c9a
original,arrange_largest_number,arrange_largest_number__standard__g0__l0,hybrid,1,100.0,native_success,5c77bddc527219931aa097062ea381ef33d51f113ee47f4fe71ea4a794bee6bc
original,arrange_largest_number,arrange_largest_number__standard__g0__l0,policy,0,5.0,native_timeout,1fcfaa209ff2c323b5b37df6312f0b17769cb344bcc13641f448718f26a02490
original,arrange_largest_number,arrange_largest_number__standard__g0__l1,hybrid,0,15.0,native_timeout,7461ae16fc48d320cfb846ed806874804a94ceb1dc1fdfd47bef3200159f5baa
original,arrange_largest_number,arrange_largest_number__standard__g0__l1,policy,0,5.0,native_timeout,df6a53c5438937940c05d0171e758465763f4806baf38ac7224a9b43e4ee0d61
original,arrange_largest_number,arrange_largest_number__standard__g0__l2,hybrid,0,40.0,native_timeout,51b7748367ce1df2985cde6f2352849f7aecf4b6438d3a74338ff86c80b58e8a
original,arrange_largest_number,arrange_largest_number__standard__g0__l2,policy,0,0.0,native_timeout,44fbd6f3f36b90950565477591fe4257126380735d789b84c130be5972bc3879
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l0,hybrid,0,0.0,native_timeout,6dfd23911ca58037a02d31677a7124b9b10cdb2a77d07b8146f4bc75e8ac30ff
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l0,policy,0,0.0,native_timeout,6dfd23911ca58037a02d31677a7124b9b10cdb2a77d07b8146f4bc75e8ac30ff
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l1,hybrid,0,0.0,native_timeout,c458e49b13546401d4fc7c79d9a381741c4cc52f3685213d5ac8c06aab9a20a2
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l1,policy,0,0.0,native_timeout,c458e49b13546401d4fc7c79d9a381741c4cc52f3685213d5ac8c06aab9a20a2
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l2,hybrid,0,0.0,native_timeout,34a821e31bb6aba3ce045e21242b0c7d3b09587a9f259ba251909832c39bff7e
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l2,policy,0,0.0,native_timeout,34a821e31bb6aba3ce045e21242b0c7d3b09587a9f259ba251909832c39bff7e
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l3,hybrid,0,0.0,native_timeout,84a37b290dd98bfd081a7cc962aca653bd02eff9e64adadeebc222c7dcf6cbb9
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l3,policy,0,0.0,native_timeout,84a37b290dd98bfd081a7cc962aca653bd02eff9e64adadeebc222c7dcf6cbb9
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l4,hybrid,0,0.0,native_timeout,ee82ff78ef4d3137011cd90d0f6bafcf6d8699fd4a1118ab75884805138f708c
original,classify_objects_by_language,classify_objects_by_language__standard__g0__l4,policy,0,0.0,native_timeout,ee82ff78ef4d3137011cd90d0f6bafcf6d8699fd4a1118ab75884805138f708c
original,fold_clothes,fold_clothes__random__g0__l0,hybrid,1,100.0,native_success,5b7b23b0769774cef16d9535ef69f67add251a4e09b1ca0d6dd25589a9766c34
original,fold_clothes,fold_clothes__random__g0__l0,policy,0,0.0,native_failure,1092dcd3b1c2123cd0ed8017547198cff3a5a0e8a10fc5d4870977c474e23c5e
original,fold_clothes,fold_clothes__random__g0__l1,hybrid,0,0.0,native_failure,ab4aba3ed5312398c73ec9c33be93cb251df47f889cbd4539deda89e17eb980c
original,fold_clothes,fold_clothes__random__g0__l1,policy,0,20.0,native_timeout,463b6711226adc5d2a9d898f2fe1be47df25b678c0f1f5969ecf0218e114bba5
original,fold_clothes,fold_clothes__standard__g0__l0,hybrid,1,100.0,native_success,86ef98b9edd0442cf4b7a55af29d47031dbed96a9dd3f56661fff1b6c3eb2898
original,fold_clothes,fold_clothes__standard__g0__l0,policy,1,100.0,native_success,ce05da0c1a34fc19b02c622707c4f326af674ea1d1164ac9c85af635045cac75
original,fold_clothes,fold_clothes__standard__g0__l1,hybrid,1,100.0,native_success,22dcab8078348e1910761b09cba77632c69f38d6e1eb267618fc6622a532cada
original,fold_clothes,fold_clothes__standard__g0__l1,policy,0,20.0,native_timeout,99b41fada91f04b62784e5810fb3ce6a348c01f04edd0634a201db280b7096b0
original,fold_clothes,fold_clothes__standard__g0__l2,hybrid,1,100.0,native_success,decad8336bf4cff3e8e0fef290e4d52766be0965cf1f5aca72a940d820ac8a40
original,fold_clothes,fold_clothes__standard__g0__l2,policy,0,20.0,native_failure,5ceefebfc440642583c6f7d3cad960343362c45c34bc3fc7ef6c3a4efa2d2b47
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l0,hybrid,0,15.0,native_timeout,ede3cedc49ce59d0eb20b81af3065c27cb1be729d452d0b0bc74b73a0d5a0095
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l0,policy,0,0.0,native_failure,d8ca47829f0ded6334131ef76af6a0999f1aa485ea748fac76d11087ea28fb11
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l1,hybrid,1,100.0,native_success,c9329b965e29e0470d668c9aea9ee5aab35901363e15d40ddeb8bfd66ce08969
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l1,policy,0,0.0,native_failure,4e3635bc731282ad6dbe6e2e64cffc67e7ebdeaca27d8945d43192bb4f0f7220
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l2,hybrid,0,50.0,native_timeout,7c2e1fba53aef3553b79ed5ea567462bcb18034f0cf47f4ede77848d97ca21ce
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l2,policy,0,0.0,native_timeout,5679a9c9430da4e60323b3c1d956378e02a57a28deaf58dbc26dde11fd0a0f88
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l3,hybrid,0,0.0,native_failure,dd163c3a9a0c7754312fe50f6d4db80305381c902e94b0635a26097f7121d940
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l3,policy,0,0.0,native_failure,4ace6fbc98ad44e2ad40b8bbd047bce41fc472714f2a84ecae6d0dbd862df62a
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l5,hybrid,0,15.0,native_timeout,a577d85b5f020e33009a1fe4a4a815cbb3850d8c940e5c73d10b654013117a48
original,imitate_sorting_sequence,imitate_sorting_sequence__standard__g0__l5,policy,0,5.0,native_timeout,501fb2888fcad32a2de836670c5340a306f67183f2da7f1653bf4894bdfc7e52
original,organize_table,organize_table__standard__g0__l0,hybrid,0,75.0,native_timeout,2c04cb0193a82ea0fd5abea1c4b1ac9172e742482908c0aa66f1c7f44b9c19d6
original,organize_table,organize_table__standard__g0__l0,policy,0,25.0,native_timeout,c1c7e113e7632c6e10cc1c3d1a48473b6731b394f6b2244845f88b6a96c9a352
original,organize_table,organize_table__standard__g0__l1,hybrid,0,50.0,native_timeout,c0b0a6f5304469626841ae5c2cc33c4d90024751a3344ea5076bf62f67cb9000
original,organize_table,organize_table__standard__g0__l1,policy,0,0.0,native_timeout,f38d34f97bd47102a18ebd1d5839de2dc778e6e61018dd51234ceee72e688c22
original,organize_table,organize_table__standard__g0__l2,hybrid,0,75.0,native_timeout,c0521dcbe7e7bb3be7fc6c2df085be4f981fc5e2948ce77555bc999b442286c3
original,organize_table,organize_table__standard__g0__l2,policy,0,0.0,native_timeout,82f192bbe048b14ea8d670932bc37f65d5fa0a7bdba81295883192baf654fff8
original,organize_table,organize_table__standard__g0__l3,hybrid,0,50.0,native_timeout,788409578a9e9a39cc4a714d4f2a6d090094d91deed6e79ef942a9e7a4ed1728
original,organize_table,organize_table__standard__g0__l3,policy,0,25.0,native_timeout,6e86e927ebcd496ded663ffb3afbf84628f9363a61576cf667c8216334ea496d
original,organize_table,organize_table__standard__g0__l4,hybrid,0,75.0,native_timeout,2d8ae856c3e03b8852bd9b1375d640a411f48f0b027b5f443144b1cf9c20e9cb
original,organize_table,organize_table__standard__g0__l4,policy,0,0.0,native_timeout,a165e5881207bd202bafdc4a29b4a3047c6a2daaa864e9a4a8479f77e48427de
